Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR7008010,2018-04-16 12:29:22,2018-04-16 12:11:50,184443588,55701963576,184443588,302,23584,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR7008010/SRR7008010.1,SRX3940582,BXTTB,WGS,other,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP140463,PRJNA443001,,443001,SRS3171383,SAMN08777103,simple,1647806,lake water metagenome,Gp0217714,,,,,,,no,,,,,JGI,SRA690963,,public,7AFE3D8A4EC4B6D80371F9400DB4AF71,C6C209D72028950103D31F976A18AE1D
SRR7979708,2018-10-08 17:54:11,2018-10-08 17:10:27,163872104,49489375408,163872104,302,21721,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-17/SRR7979708/SRR7979708.1,SRX4810992,BXTTC,WGS,other,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP164569,PRJNA443002,,443002,SRS3889160,SAMN08779356,simple,1647806,lake water metagenome,Gp0217715,,,,,,,no,,,,,JGI,SRA790641,,public,4C5DE238B9A2C7BD501F4A8F65E61236,9A24ED11C936E58FF3457766B8DFDAC5
SRR7979709,2018-10-08 18:45:52,2018-10-08 18:24:10,208611923,63000800746,208611923,302,26874,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-18/SRR7979709/SRR7979709.1,SRX4810993,BXTTG,WGS,other,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP164570,PRJNA443003,,443003,SRS3889163,SAMN08779357,simple,1647806,lake water metagenome,Gp0217716,,,,,,,no,,,,,JGI,SRA790649,,public,29B956E91539206BB932B3E7DEBB6E0E,2FB15E5210C398D15FC488679D89A644
SRR7008372,2018-04-16 13:35:18,2018-04-16 13:09:08,193344597,58390068294,193344597,302,24684,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR7008372/SRR7008372.1,SRX3940860,BXTTH,WGS,other,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP140480,PRJNA443004,,443004,SRS3171616,SAMN08776582,simple,1647806,lake water metagenome,Gp0217717,,,,,,,no,,,,,JGI,SRA690971,,public,8C83977287D6D778BEF9F16B0B30DE10,C2B78C3328AD135A49108B25E37098C8
SRR7985395,2018-10-09 15:01:13,2018-10-09 14:39:29,208140349,62858385398,208140349,302,27579,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-18/SRR7985395/SRR7985395.1,SRX4817987,BYGSW,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP164717,PRJNA443005,,443005,SRS3892540,SAMN08779358,simple,1647806,lake water metagenome,Gp0217718,,,,,,,no,,,,,JGI,SRA790894,,public,9683D04E129D9D5DC0FDD986420A1AE9,23404C56CBF702789D38DEC260F432D0
SRR7052951,2018-04-22 03:18:20,2018-04-22 02:47:40,226532298,68412753996,226532298,302,31970,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR7052951/SRR7052951.1,SRX3983986,BYOSX,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP141741,PRJNA443006,,443006,SRS3208808,SAMN08777102,simple,1647806,lake water metagenome,Gp0217719,,,,,,,no,,,,,JGI,SRA694197,,public,9BE8AB9E5ED66A1985A4CA86D764F5E3,317304013338269064B59BB4DB8C47EC
SRR7985596,2018-10-09 16:28:14,2018-10-09 15:29:11,224785301,67885160902,224785301,302,32172,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-18/SRR7985596/SRR7985596.1,SRX4818188,BYOSY,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP164724,PRJNA443007,,443007,SRS3892737,SAMN08779359,simple,1647806,lake water metagenome,Gp0217720,,,,,,,no,,,,,JGI,SRA790901,,public,63A72E7395C3706C3600AC764F605838,77099FF2C5267AB7D81F3C3CD5B58145
SRR7985617,2018-10-09 15:50:12,2018-10-09 15:08:44,211104239,63753480178,211104239,302,29308,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7985617/SRR7985617.1,SRX4818209,BYOSZ,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP164726,PRJNA443008,,443008,SRS3892758,SAMN08779360,simple,1647806,lake water metagenome,Gp0217721,,,,,,,no,,,,,JGI,SRA790936,,public,4BE4EBEC9B981E255B66370A40E3B0AE,2331325CC08BF857EC1B248049BC71AD
SRR7053050,2018-04-22 03:07:12,2018-04-22 02:33:58,214840301,64881770902,214840301,302,29592,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR7053050/SRR7053050.1,SRX3984085,BYOTA,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP141839,PRJNA443009,,443009,SRS3208909,SAMN08777471,simple,1647806,lake water metagenome,Gp0217722,,,,,,,no,,,,,JGI,SRA694194,,public,F1ACAF041A4EC5F929AFAA4ECBAB3011,286C42D2750AF9ED6B258DF80710CC29
SRR7985589,2018-10-09 14:41:25,2018-10-09 14:21:15,132603746,40046331292,132603746,302,16715,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR7985589/SRR7985589.1,SRX4818181,BYOOO,WGS,other,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP164723,PRJNA443010,,443010,SRS3892731,SAMN08779361,simple,1647806,lake water metagenome,Gp0217723,,,,,,,no,,,,,JGI,SRA790908,,public,44B944DBBDB31FA646D08570FFC99A3E,6AF01AE99DCCAACCE4ED20B25C20BEF5
